Malignant Cell,Cluster
N_T_P1228_11210,9
N_T_P1228_11212,9
N_T_P1228_11214,9
N_T_P1228_11220,9
N_T_P1228_11223,9
N_T_P1228_11224,9
N_T_P1228_11233,9
N_T_P1228_11246,9
N_T_P1228_11248,9
N_T_P1228_11249,9
N_T_P1228_11253,9
N_T_P1228_11261,9
N_T_P1228_11264,9
N_T_P1228_11271,9
N_T_P1228_11274,9
N_T_P1228_11287,9
N_T_P1228_11288,9
N_T_P1228_11292,9
N_T_P1228_11295,9
N_T_P1228_11312,9
